person_id,age_group,access_channel,outcome_score
P0436,18-29,In Person,8.6
P0437,30-44,In Person,6.7
P0438,30-44,Online,4.5
P0439,45-59,Online,5.6
P0440,18-29,Online,6.6
P0441,30-44,Online,6.0
P0442,30-44,Online,5.3
P0443,45-59,In Person,6.2
P0444,30-44,Phone,8.3
P0445,60+,Phone,3.6
P0446,45-59,Online,6.5
P0447,18-29,Phone,4.3
P0448,45-59,In Person,4.5
P0449,30-44,Online,7.2
P0450,45-59,Phone,9.5
P0451,45-59,Online,8.6
P0452,60+,Phone,7.4
P0453,30-44,In Person,6.4
P0454,60+,Online,6.8
P0455,30-44,Online,6.6
P0456,60+,Online,4.6
P0457,18-29,Online,6.8
P0458,45-59,Online,9.6
P0459,30-44,Online,6.5
P0460,45-59,In Person,6.9
P0461,60+,Phone,6.6
P0462,30-44,Online,4.9
P0463,30-44,Online,8.5
P0464,18-29,Online,8.8
P0465,30-44,Online,5.4
P0466,60+,Phone,7.7
P0467,30-44,In Person,6.9
P0468,18-29,Online,8.6
P0469,45-59,Online,5.7
P0470,18-29,Phone,5.6
P0471,30-44,In Person,7.4
P0472,30-44,Online,8.2
P0473,30-44,Online,6.1
P0474,18-29,Phone,7.4
P0475,60+,Online,3.5
P0476,30-44,Online,7.2
P0477,45-59,Online,6.9
P0478,45-59,Online,7.9
P0479,45-59,Online,4.8
P0480,45-59,Online,4.8
P0481,45-59,Online,6.5
P0482,45-59,Online,6.7
P0483,30-44,Online,7.2
P0484,60+,Online,8.0
P0485,30-44,In Person,8.6
P0486,18-29,In Person,9.8
P0487,30-44,Online,7.8
P0488,45-59,Phone,7.7
P0489,45-59,Online,7.3
P0490,18-29,Online,7.4
P0491,60+,In Person,5.8
P0492,18-29,Online,5.2
P0493,30-44,Phone,6.6
P0494,18-29,Online,6.8
P0495,30-44,Online,5.4
P0496,60+,Online,6.7
P0497,45-59,Online,7.0
P0498,30-44,Online,8.5
P0499,30-44,Online,4.5
P0500,30-44,Online,4.0
