time_entry_id,shot_id,project_id,artist_id,work_date,hours_logged,task_type,billable_flag,overtime_flag,source_system,comment
TE-0001033,PRJ-1002_SQ100_SH0060,PRJ-1002,ART-039,2024-08-21,5.47,Review Fixes,Y,N,Timesheet Portal,
TE-0002881,PRJ-1006_SQ060_SH0070,PRJ-1006,ART-031,2025-05-22,13.73,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0002043,PRJ-1005_SQ010_SH0030,PRJ-1005,ART-046,2024-09-08,9.91,Review Fixes,Y,Y,Production Tracker,
TE-0006628, PRJ-1015_SQ020_SH0040,PRJ-1015,ART-010,2026-05-10,4.5,Review Fixes,Y,Y,Timesheet Portal,
TE-0002188,PRJ-1005_SQ040_SH0070,PRJ-1005,ART-034,2024-12-05,74.83,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0005037,PRJ-1011_SQ050_SH0030,PRJ-1011,ART-059,2025-09-11,3.5,Production,Y,N,Production Tracker,
TE-0000917,PRJ-1002_SQ060_SH0050,PRJ-1002,ART-017,2024-07-05,8.25,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0004916,PRJ-1010_SQ010_SH0100,PRJ-1010,ART-001,2026-02-16,9.49,Review Fixes,Y,Y,Production Tracker,Late turnover
TE-0001170,PRJ-1003_SQ010_SH0010,PRJ-1003,ART-014,2024-04-18,9.02,Production,Y,Y,Timesheet Portal,Client notes
TE-0006077,PRJ-1013_SQ030_SH0070,PRJ-1013,ART-021,2026-04-12,3.37,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0003436,PRJ-1008_SQ080_SH0050,PRJ-1008,ART-022,2025-06-04,0.89,Production,Y,N,Production Tracker,Late turnover
TE-0003284,PRJ-1008_SQ030_SH0030,PRJ-1008,ART-041,2025-04-06,1.67,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0005442,PRJ-1012_SQ040_SH0020,PRJ-1012,ART-037,2025-12-07,8.35,Technical Setup,Y,Y,Production Tracker,Internal review changes
TE-0005900,PRJ-1013_SQ020_SH0020,PRJ-1013,ART-047,2026-02-21,1.43,Review Fixes,Y,No,Production Tracker,
TE-0002680,PRJ-1006_SQ090_SH0040,PRJ-1006,ART-028,2025-02-18,4.57,Review Fixes,Y,N,Production Tracker,Late turnover
TE-0001013,PRJ-1002_SQ080_SH0060,PRJ-1002,ART-038,2024-08-16,4.93,Production,Y,N,Production Tracker,Weekend delivery push
TE-0001324,PRJ-1003_SQ010_SH0050,PRJ-1003,ART-028,2024-05-13,3.55,Review Fixes,Y,N,Production Tracker,
TE-0006082,PRJ-1013_SQ040_SH0070,PRJ-1013,ART-042,2026-04-18,7.23,Production,Y,Y,Timesheet Portal,
TE-0005620,PRJ-1012_SQ010_SH0050,PRJ-1012,ART-026,2026-03-07,4.48,Production,Y,Y,Production Tracker,
TE-0001575,PRJ-1004_SQ080_SH0020,PRJ-1004,ART-053,2024-07-18,7.29,Production,Y,N,Timesheet Portal,
TE-0001166,PRJ-1002_SQ010_SH0080,PRJ-1002,ART-002,2024-10-04,26,Production,Y,N,Production Tracker,Late turnover
TE-0006842,PRJ-1015_SQ050_SH0110,PRJ-1015,ART-051,2026-09-29,3.31,Production,Y,N,Production Tracker,Weekend delivery push
TE-0004009,PRJ-1009_SQ030_SH0060,PRJ-1009,ART-017,2025-07-21,8.48,Review Fixes,Y,Y,Production Tracker,Late turnover
TE-0000430,PRJ-1001_SQ030_SH0090,PRJ-1001,ART-010,2024-07-04,3.84,Production,Y,N,Production Tracker,
TE-0003214,PRJ-1008_SQ030_SH0020,PRJ-1008,ART-023,2025-03-08,20.83,Production,Y,Y,Production Tracker,
TE-0004309,PRJ-1010_SQ040_SH0010,PRJ-1010,ART-033,2025-05-31,1.37,Production,Y,Y,Production Tracker,Internal review changes
TE-0006187,PRJ-1014_SQ040_SH0010,PRJ-1014,ART-013,2026/03/10,6.36,Review Fixes,Y,N,Timesheet Portal,
TE-0005874,PRJ-1013_SQ020_SH0010,PRJ-1013,ART-035,2026-02-01,3.5,Production,Y,Y,Timesheet Portal,
TE-0006109,PRJ-1013_SQ010_SH0080,PRJ-1013,ART-013,2026-04-06,0.25,QC,Y,N,Production Tracker,Internal review changes
TE-0001942,PRJ-1004_SQ100_SH0080,PRJ-1004,ART-049,2024-12-22,2.14,QC,Y,Y,Production Tracker,
TE-0006086,PRJ-1013_SQ040_SH0070,PRJ-1013,ART-042,2026-04-10,2.13,Production,Y,N,Production Tracker,Late turnover
TE-0005484,PRJ-1012_SQ120_SH0020,PRJ-1012,ART-005,2026-01-03,19.9,Production,Y,Y,Production Tracker,Client notes
TE-0003652,PRJ-1008_SQ020_SH0090,PRJ-1008,ART-025,2025-08-06,6.76,Production,Y,N,Timesheet Portal,Internal review changes
TE-0001050,PRJ-1002_SQ120_SH0060,PRJ-1002,ART-017,2024-08-29,2.91,Review Fixes,Y,N,Production Tracker,Internal review changes
TE-0003865,PRJ-1009_SQ050_SH0030,PRJ-1009,ART-051,2025-05-31,3.69,Production,Y,Y,Timesheet Portal,
TE-0006404,PRJ-1014_SQ060_SH0070,PRJ-1014,ART-022,2026-06-14,6.39,Technical Setup,Y,Y,Production Tracker,
TE-0005952,PRJ-1013_SQ050_SH0030,PRJ-1013,ART-040,2026-02-20,8.45,Review Fixes,Y,Y,Production Tracker,Internal review changes
TE-0006380,PRJ-1014_SQ010_SH0070,PRJ-1014,ART-048,2026-06-02,8.79,Technical Setup,Y,Y,Production Tracker,Late turnover
TE-0004967,PRJ-1011_SQ020_SH0010,PRJ-1011,ART-026,2025-07-14,3.9,Production,Y,N,Production Tracker,
TE-0002738,PRJ-1006_SQ090_SH0050,PRJ-1006,ART-053,2025-04-07,6.0,Production,Y,N,Timesheet Portal,Late turnover
TE-0000855,PRJ-1002_SQ080_SH0040,PRJ-1002,ART-036,2024-06-20,5.21,Review Fixes,Y,N,Production Tracker,Internal review changes
TE-0002094,PRJ-1005_SQ040_SH0040,PRJ-1005,ART-037,2024-10-06,8.55,Production,Y,Y,Production Tracker,
TE-0002013,PRJ-1005_SQ050_SH0010,PRJ-1005,ART-060,2024-08-24,2.43,Technical Setup,Y,Y,Production Tracker,Client notes
TE-0003480,PRJ-1008_SQ070_SH0060,PRJ-1008,ART-033,2025-06-16,8.13,Technical Setup,Y,Y,Production Tracker,
TE-0002830,PRJ-1006_SQ100_SH0060,PRJ-1006,ART-026,2025-05-08,8.43,Review Fixes,Y,Y,Production Tracker,Late turnover
TE-0002348,PRJ-1005_SQ030_SH0120,PRJ-1005,ART-031,2025-01-18,17.72,Production,Y,Y,Production Tracker,Internal review changes
TE-0000966,PRJ-1002_SQ010_SH0060,PRJ-1002,ART-001,2024-08-18,6.14,Production,Y,Y,Production Tracker,Client notes
TE-0004509,PRJ-1010_SQ070_SH0040,PRJ-1010,ART-041,2025-08-29,9.7,R&D,N,Y,Production Tracker,
TE-0003768,PRJ-1009_SQ080_SH0010,PRJ-1009,ART-047,2025-04-29,2.11,Production,Y,N,Production Tracker,Weekend delivery push
TE-0006329,PRJ-1014_SQ060_SH0050,PRJ-1014,ART-051,2026-05-15,2.78,Production,Y,N,Production Tracker,
TE-0005645,PRJ-1012_SQ050_SH0050,PRJ-1012,ART-007,2026-03-11,2.6,Production,Y,N,Timesheet Portal,Client notes
TE-0000353,PRJ-1001_SQ060_SH0070,PRJ-1001,ART-017,2024-06-03,4.78,Production,Y,N,Production Tracker,
TE-0005191,PRJ-1011_SQ040_SH0080,PRJ-1011,ART-002,2025-12-12,5.24,Production,Y,N,Production Tracker,Late turnover
TE-0005225,PRJ-1011_SQ040_SH0090,PRJ-1011,ART-055,2026-01-06,8.76,Production,Y,Y,Timesheet Portal,Weekend delivery push
TE-0004954,PRJ-1010_SQ060_SH0100,PRJ-1010,ART-036,2026-02-19,2.26,Production,Y,N,Production Tracker,
TE-0000074,PRJ-1001_SQ020_SH0020,PRJ-1001,ART-034,2024-02-08,81.57,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0003223,PRJ-1008_SQ040_SH0020,PRJ-1008,ART-039,2025-03-05,1.94,Production,Y,N,Timesheet Portal,Internal review changes
TE-0000823,PRJ-1002_SQ030_SH0040,PRJ-1002,ART-059,2024-06-08,4.5,Review Fixes,Y,Y,Production Tracker,Client notes
TE-0004202,PRJ-1009_SQ030_SH0100,PRJ-1009,ART-047,2025-11-07,1.82,Production,Y,N,Production Tracker,
TE-0002239,PRJ-1005_SQ030_SH0090,PRJ-1005,ART-011,2024-12-21,1.45,Technical Setup,Y,Y,Production Tracker,Late turnover
TE-0000745,PRJ-1002_SQ060_SH0030,PRJ-1002,ART-010,2024-04-29,9.82,Review Fixes,Y,Y,Production Tracker,
TE-0005329,PRJ-1011_SQ040_SH0120,PRJ-1011,ART-047,2026-03-12,2.99,Production,Y,N,Production Tracker,Late turnover
TE-0004159,PRJ-1009_SQ060_SH0090,PRJ-1009,ART-032,2025-10-18,4.94,Production,Y,Y,Timesheet Portal,
TE-0002453,PRJ-1006_SQ100_SH0010,PRJ-1006,ART-029,2024-11-02,9.05,QC,Y,Y,Production Tracker,
TE-0002285,PRJ-1005_SQ040_SH0100,PRJ-1005,ART-010,2025-01-02,11.77,Review Fixes,Y,Y,Production Tracker,
TE-0001571,PRJ-1004_SQ070_SH0020,PRJ-1004,ART-059,2024-07-18,8.49,QC,Y,Y,Production Tracker,Late turnover
TE-0006684,PRJ-1015_SQ060_SH0050,PRJ-1015,ART-033,2026-06-14,10.76,Technical Setup,Y,Y,Timesheet Portal,Weekend delivery push
TE-0003213,PRJ-1008_SQ030_SH0020,PRJ-1008,ART-023,2025-03-13,0.95,Production,Y,N,Timesheet Portal,Internal review changes
TE-0005896,PRJ-1013_SQ010_SH0020,PRJ-1013,ART-057,2026-02-04,6.01,Production,Y,N,Timesheet Portal,Internal review changes
TE-0000092,MISSING_SHOT,PRJ-1001,ART-016,2024-02-25,8.28,Review Fixes,Y,Y,Production Tracker,
TE-0000753,PRJ-1002_SQ070_SH0030,PRJ-1002,ART-015,2024-04-22,1.95,Technical Setup,Y,N,Production Tracker,Client notes
TE-0000113,PRJ-1001_SQ010_SH0030,PRJ-1001,ART-035,2024-02-23,8.82,Production,Y,Y,Production Tracker,Late turnover
TE-0002172,PRJ-1005_SQ020_SH0070,PRJ-1005,ART-044,2024-11-13,6.78,Production,Y,N,Timesheet Portal,Weekend delivery push
TE-0001534,PRJ-1004_SQ090_SH0010,PRJ-1004,ART-026,2024-06-29,7.24,Production,Y,Y,Production Tracker,Client notes
TE-0000937,PRJ-1002_SQ090_SH0050,PRJ-1002,ART-009,2024-07-22,9.97,Production,Y,Y,Production Tracker,Client notes
TE-0003931,PRJ-1009_SQ080_SH0040,PRJ-1009,ART-025,2025-06-17,2.12,Production,Y,N,Timesheet Portal,Client notes
TE-0002835,PRJ-1006_SQ100_SH0060,PRJ-1006,ART-026,2025-05-12,9.41,Production,Y,Y,Production Tracker,Client notes
TE-0001263,PRJ-1003_SQ050_SH0030,PRJ-1003,ART-010,2024-05-07,3.75,Production,Y,N,Production Tracker,Client notes
TE-0006246,PRJ-1014_SQ050_SH0030,PRJ-1014,ART-016,2026-04-10,9.67,Production,Y,Y,Timesheet Portal,Late turnover
TE-0001485,PRJ-1004_SQ010_SH0010,PRJ-1004,ART-052,2024-06-13,7.88,Production,Y,N,Production Tracker,
TE-0001120,PRJ-1002_SQ070_SH0070,PRJ-1002,ART-060,2024-09-13,8.47,Production,Y,Y,Timesheet Portal,Client notes
TE-0003204,PRJ-1008_SQ010_SH0020,PRJ-1008,ART-030,2025-03-07,5.3,Review Fixes,Y,N,Production Tracker,
TE-0000011,PRJ-1001_SQ030_SH0010,PRJ-1001,ART-038,2024-02-21,5.0,Technical Setup,Y,N,Timesheet Portal,
TE-0002060,PRJ-1005_SQ040_SH0030,PRJ-1005,ART-055,2024-10-02,7.31,Production,Y,N,Production Tracker,
TE-0004357,PRJ-1010_SQ040_SH0020,PRJ-1010,ART-060,2025-06-21,7.07,Production,Y,Y,Timesheet Portal,Weekend delivery push
TE-0000521,PRJ-1001_SQ060_SH0100,PRJ-1001,ART-053,2024-08-06,6.98,Review Fixes,Y,N,Timesheet Portal,
TE-0000454,PRJ-1001_SQ060_SH0090,PRJ-1001,ART-021,2024-07-07,5.16,Review Fixes,Y,Y,Production Tracker,
TE-0002828,PRJ-1006_SQ100_SH0060,PRJ-1006,ART-026,2025-05-23,6.15,Production,Y,N,Production Tracker,
TE-0003104,PRJ-1007_SQ050_SH0050,PRJ-1007,ART-025,2025-02-13,3.76,QC,Y,N,Production Tracker,Internal review changes
TE-0002688,PRJ-1006_SQ110_SH0040,PRJ-1006,ART-015,2025-02-25,6.46,Technical Setup,Y,N,Production Tracker,Late turnover
TE-0002576,PRJ-1006_SQ060_SH0030,PRJ-1006,ART-008,2025-01-15,4.59,Production,Y,N,Timesheet Portal,Weekend delivery push
TE-0005156,PRJ-1011_SQ030_SH0070,PRJ-1011,ART-035,2025-12-01,6.94,Production,Y,N,Timesheet Portal,Late turnover
TE-0005987,PRJ-1013_SQ050_SH0040,PRJ-1013,ART-015,2026-03-01,11.34,Production,Y,Y,Timesheet Portal,Weekend delivery push
TE-0001087,PRJ-1002_SQ040_SH0070,PRJ-1002,ART-041,2024-10-07,5.39,Production,Y,N,Production Tracker,Weekend delivery push
TE-0005833,PRJ-1012_SQ020_SH0080,PRJ-1012,ART-047,2026-06-24,19.47,QC,Y,Y,Timesheet Portal,Client notes
TE-0001786,PRJ-1004_SQ010_SH0060,PRJ-1004,,2024-10-20,1.57,Technical Setup,Y,Y,Production Tracker,Internal review changes
TE-0000590,PRJ-1002_SQ080_SH0010,PRJ-1002,ART-032,2024-02-22,1.2,Production,Y,N,Timesheet Portal,Client notes
TE-0005997,PRJ-1013_SQ020_SH0050,PRJ-1013,ART-004,2026-03-08,9.67,Production,Y,Y,Timesheet Portal,
TE-0002523,PRJ-1006_SQ090_SH0020,PRJ-1006,ART-014,2024-12-25,3.03,Technical Setup,Y,N,Production Tracker,
TE-0000121,PRJ-1001_SQ030_SH0030,PRJ-1001,ART-024,2024-03-08,4.73,R&D,N,N,Production Tracker,
TE-0000660,PRJ-1002_SQ050_SH0020,PRJ-1002,ART-028,2024-03-29,6.52,Review Fixes,Y,N,Production Tracker,
TE-0001636,PRJ-1004_SQ070_SH0030,PRJ-1004,ART-020,2024-08-24,1.16,Production,Y,Y,Production Tracker,
TE-0001918,PRJ-1004_SQ050_SH0080,PRJ-1004,ART-003,2024-12-30,4.03,Production,Y,N,Production Tracker,Internal review changes
TE-0005384,PRJ-1012_SQ080_SH0010,PRJ-1012,ART-051,2025-11-19,8.74,R&D,N,Y,Production Tracker,
TE-0001678,PRJ-1004_SQ030_SH0040,PRJ-1004,ART-056,2024-09-05,18.6,Review Fixes,Y,Y,Timesheet Portal,
TE-0000436,PRJ-1001_SQ040_SH0090,PRJ-1001,ART-013,2024-07-23,9.23,Review Fixes,Y,Y,Production Tracker,Late turnover
TE-0002585,PRJ-1006_SQ080_SH0030,PRJ-1006,ART-054,2025-01-13,4.67,Production,Y,N,Timesheet Portal,
TE-0003251,PRJ-1008_SQ080_SH0020,PRJ-1008,ART-028,2025-03-22,6.6,Production,Y,Y,Production Tracker,Late turnover
TE-0001572,PRJ-1004_SQ070_SH0020,PRJ-1004,ART-059,2024-07-25,9.35,Production,Y,Y,Production Tracker,
TE-0005382,PRJ-1012_SQ070_SH0010,PRJ-1012,ART-036,2025-11-02,24.29,Technical Setup,Y,Y,Timesheet Portal,
TE-0003908,PRJ-1009_SQ040_SH0040,PRJ-1009,ART-006,2025-06-25,15.15,Review Fixes,Y,Y,Production Tracker,Internal review changes
TE-0004456,PRJ-1010_SQ090_SH0030,PRJ-1010,ART-055,2025-08-02,7.53,Review Fixes,Y,Y,Timesheet Portal,
TE-0003574,PRJ-1008_SQ020_SH0080,PRJ-1008,ART-039,2025-07-21,17.73,Production,Y,Y,Production Tracker,Weekend delivery push
TE-0006469,PRJ-1014_SQ040_SH0110,PRJ-1014,ART-012,2026-08-07,2.54,Production,Y,N,Production Tracker,Weekend delivery push
TE-0004568,PRJ-1010_SQ050_SH0050,PRJ-1010,ART-057,2025-10-07,9.05,Review Fixes,Y,Y,Timesheet Portal,Late turnover
TE-0006068,PRJ-1013_SQ020_SH0070,PRJ-1013,ART-019,2026-04-03,2.03,Production,Y,N,Production Tracker,Client notes
TE-0003353,PRJ-1008_SQ050_SH0040,PRJ-1008,ART-058,2025-05-05,6.41,Production,Y,N,Production Tracker,Internal review changes
TE-0002242,PRJ-1005_SQ040_SH0090,PRJ-1005,ART-059,2024-12-02,9.4,Production,Y,Y,Timesheet Portal,Internal review changes
TE-0002493,PRJ-1006_SQ040_SH0020,PRJ-1006,ART-019,2024-12-08,1.69,Production,Y,Y,Production Tracker,
TE-0000438,PRJ-1001_SQ040_SH0090,PRJ-1001,ART-054,2024-07-16,5.23,Review Fixes,Y,N,Production Tracker,
TE-0002872,PRJ-1006_SQ040_SH0070,PRJ-1006,ART-012,2025-05-23,0.77,Review Fixes,Y,N,Production Tracker,
TE-0003102,PRJ-1007_SQ050_SH0050,PRJ-1007,ART-025,2025-02-19,1.02,Production,Y,N,Production Tracker,Internal review changes
TE-0002770,PRJ-1006_SQ020_SH0060,PRJ-1006,ART-059,2025-04-08,11.26,Production,Y,Y,Production Tracker,Late turnover
TE-0002359,PRJ-1005_SQ050_SH0120,PRJ-1005,ART-060,2025-01-15,7.1,Production,Y,N,Production Tracker,Late turnover
TE-0001268,PRJ-1003_SQ050_SH0030,PRJ-1003,ART-010,2024-05-16,7.29,Review Fixes,Y,N,Production Tracker,Late turnover
TE-0000184,PRJ-1001_SQ020_SH0040,PRJ-1001,ART-047,2024-03-28,5.48,Review Fixes,Y,N,Production Tracker,Client notes
TE-0004709,PRJ-1010_SQ070_SH0070,PRJ-1010,ART-056,2025-12-07,3.65,Production,Y,Y,Timesheet Portal,
TE-0001897,PRJ-1004_SQ100_SH0070,PRJ-1004,ART-006,2024-12-10,2.09,Production,Y,N,Production Tracker,Weekend delivery push
TE-0006448,PRJ-1014_SQ010_SH0100,PRJ-1014,ART-018,2026-07-13,8.5,Production,Y,Y,Timesheet Portal,Late turnover
TE-0000576,PRJ-1002_SQ060_SH0010,PRJ-1002,ART-058,2024-02-27,7.38,Production,Y,N,Production Tracker,Internal review changes
TE-0000779,PRJ-1002_SQ110_SH0030,PRJ-1002,ART-059,2024-05-21,4.41,Production,Y,N,Timesheet Portal,Client notes
TE-0003062,PRJ-1007_SQ050_SH0040,PRJ-1007,ART-036,2025-02-17,4.7,Production,Y,N,Production Tracker,
TE-0006280,PRJ-1014_SQ050_SH0040,PRJ-1014,ART-008,2026-04-29,4.56,Technical Setup,Y,N,Timesheet Portal,Internal review changes
TE-0002813,PRJ-1006_SQ080_SH0060,PRJ-1006,ART-045,2025-05-06,7.1,Review Fixes,Y,N,Timesheet Portal,
TE-0006189,PRJ-1014_SQ050_SH0010,PRJ-1014,ART-044,2026-02-16,2.16,QC,Y,N,Production Tracker,
TE-0001599,PRJ-1004_SQ020_SH0030,PRJ-1004,ART-034,2024-08-04,1.72,Production,Y,Y,Timesheet Portal,Late turnover
TE-0006413,PRJ-1014_SQ020_SH0080,PRJ-1014,ART-050,2026-06-09,1.86,Review Fixes,Y,N,Production Tracker,
TE-0005301,PRJ-1011_SQ010_SH0120,PRJ-1011,ART-012,2026-03-03,8.09,Production,Y,Y,Production Tracker,
TE-0000824,PRJ-1002_SQ030_SH0040,PRJ-1002,ART-059,2024-05-29,9.22,Production,Y,Y,Timesheet Portal,
TE-0004328,PRJ-1010_SQ070_SH0010,PRJ-1010,ART-059,2025-05-22,5.64,Review Fixes,Y,N,Timesheet Portal,Internal review changes
TE-0003502,PRJ-1008_SQ010_SH0070,PRJ-1008,ART-006,2025-06-26,28.1,Technical Setup,Y,Y,Production Tracker,Internal review changes
TE-0003600,PRJ-1008_SQ050_SH0080,PRJ-1008,ART-038,2025-08-05,9.65,Review Fixes,Y,Y,Timesheet Portal,Client notes
TE-0005316,PRJ-1011_SQ030_SH0120,PRJ-1011,ART-015,2026-03-12,1.21,R&D,N,N,Timesheet Portal,Internal review changes
TE-0005643,PRJ-1012_SQ050_SH0050,PRJ-1012,ART-007,2026-03-17,7.52,Production,Y,N,Production Tracker,
TE-0006204,PRJ-1014_SQ030_SH0020,PRJ-1014,ART-046,2026-03-04,4.13,QC,Y,N,Timesheet Portal,
TE-0003476,PRJ-1008_SQ050_SH0060,PRJ-1008,ART-035,2025-06-23,2.39,Review Fixes,Y,N,Production Tracker,Weekend delivery push
TE-0006244,PRJ-1014_SQ040_SH0030,PRJ-1014,ART-053,2026-04-07,5.94,Technical Setup,Y,N,Timesheet Portal,
TE-0004887,PRJ-1010_SQ080_SH0090,PRJ-1010,ART-022,2026-02-07,2.73,QC,Y,Y,Production Tracker,Internal review changes
TE-0003403,PRJ-1008_SQ040_SH0050,PRJ-1008,ART-025,2025-06-08,7.16,Review Fixes,Y,Y,Timesheet Portal,
TE-0000223,PRJ-1001_SQ030_SH0050,PRJ-1001,ART-046,2024-04-30,8.22,QC,Y,Y,Production Tracker,Weekend delivery push
TE-0003733,PRJ-1009_SQ040_SH0010,PRJ-1009,ART-009,2025-03-27,4.5,Review Fixes,Y,N,Production Tracker,Weekend delivery push
TE-0002878,PRJ-1006_SQ060_SH0070,PRJ-1006,ART-031,2025-05-21,6.87,Production,Y,N,Timesheet Portal,Weekend delivery push
TE-0004260,PRJ-1009_SQ070_SH0110,PRJ-1009,ART-029,2025-12-10,8.99,Production,Y,Y,Production Tracker,Internal review changes
TE-0000524,PRJ-1002_SQ010_SH0010,PRJ-1002,ART-008,2024-02-26,2.8,QC,Y,N,Timesheet Portal,
TE-0003243,PRJ-1008_SQ070_SH0020,PRJ-1008,ART-041,2025-03-19,1.79,Production,Y,N,Production Tracker,
TE-0000147,PRJ-1001_SQ060_SH0030,PRJ-1001,ART-041,2024-03-25,5.4,Production,Y,N,Production Tracker,Weekend delivery push
TE-0001082,PRJ-1002_SQ040_SH0070,PRJ-1002,ART-041,2024-10-11,7.26,Review Fixes,Y,N,Production Tracker,Late turnover
TE-0003189,PRJ-1008_SQ080_SH0010,PRJ-1008,ART-016,2025-03-12,7.05,Review Fixes,Y,N,Production Tracker,Client notes
TE-0000057,PRJ-1001_SQ010_SH0020,PRJ-1001,ART-025,2024-02-19,2.75,Production,Y,N,Production Tracker,Late turnover
TE-0000726,PRJ-1002_SQ030_SH0030,PRJ-1002,ART-036,2024-05-05,2.62,Review Fixes,Y,Y,Production Tracker,
TE-0003178,PRJ-1008_SQ060_SH0010,PRJ-1008,ART-044,2025/02/10,5.23,Production,Y,N,Timesheet Portal,Weekend delivery push
TE-0000987,PRJ-1002_SQ050_SH0060,PRJ-1002,ART-041,2024-08-17,2.26,Production,Y,Y,Timesheet Portal,Client notes
TE-0006403,PRJ-1014_SQ060_SH0070,PRJ-1014,ART-022,2026-06-10,5.55,Review Fixes,Y,N,Production Tracker,Weekend delivery push
TE-0003063,PRJ-1007_SQ050_SH0040,PRJ-1007,ART-036,2025-02-17,9.07,Production,Y,Y,Timesheet Portal,
TE-0000067,PRJ-1001_SQ020_SH0020,PRJ-1001,ART-034,2024-02-24,8.85,Production,Y,Y,Production Tracker,
TE-0000208,PRJ-1001_SQ080_SH0040,PRJ-1001,ART-008,2024-04-23,5.74,QC,Y,N,Production Tracker,
TE-0004667,PRJ-1010_SQ020_SH0070,PRJ-1010,ART-046,2025-11-22,6.81,Production,Y,Y,Timesheet Portal,Client notes
TE-0002925,PRJ-1006_SQ030_SH0080,PRJ-1006,ART-023,2025-06-21,1.14,R&D,N,Y,Production Tracker,
TE-0000564,PRJ-1002_SQ050_SH0010,PRJ-1002,ART-047,2024-02-23,2.34,QC,Y,N,Production Tracker,Internal review changes
TE-0003756,PRJ-1009_SQ070_SH0010,PRJ-1009,ART-041,2025-04-17,7.09,Review Fixes,Y,N,Timesheet Portal,Weekend delivery push
TE-0004891,PRJ-1010_SQ080_SH0090,PRJ-1010,ART-022,2026-01-30,3.85,Review Fixes,Y,N,Timesheet Portal,Late turnover
TE-0005475,PRJ-1012_SQ090_SH0020,PRJ-1012,ART-053,2025-12-29,2.64,Production,Y,N,Production Tracker,Late turnover
TE-0000401,PRJ-1001_SQ060_SH0080,PRJ-1001,ART-018,2024-06-25,15.01,Production,Y,Y,Production Tracker,Client notes
TE-0004507,PRJ-1010_SQ070_SH0040,PRJ-1010,ART-041,2025-09-17,8.39,Review Fixes,Y,Y,Production Tracker,Late turnover
TE-0005491,PRJ-1012_SQ010_SH0030,PRJ-1012,ART-016,2026-01-02,7.43,Review Fixes,Y,N,Production Tracker,
